  0.0000   0.0000   1.0000
  0.1250   0.0000   0.8750
  0.2500   0.0000   0.7500
  0.3750   0.0000   0.6250
  0.5000   0.0000   0.5000
  0.6250   0.0000   0.3750
  0.7500   0.0000   0.2500
  0.8750   0.0000   0.1250
  1.0000   0.0000   0.0000

  0.0000   0.1250   0.8750
  0.1250   0.1250   0.6403
  0.2500   0.1250   0.4752
  0.3750   0.1250   0.3643
  0.5000   0.1250   0.2815
  0.6250   0.1250   0.2115
  0.7500   0.1250   0.1575
  0.8750   0.1250   0.1316
  1.0000   0.1250   0.1250

  0.0000   0.2500   0.7500
  0.1250   0.2500   0.4752
  0.2500   0.2500   0.2955
  0.3750   0.2500   0.1953
  0.5000   0.2500   0.1388
  0.6250   0.2500   0.1052
  0.7500   0.2500   0.1040
  0.8750   0.2500   0.1580
  1.0000   0.2500   0.2500

  0.0000   0.3750   0.6250
  0.1250   0.3750   0.3643
  0.2500   0.3750   0.1953
  0.3750   0.3750   0.1069
  0.5000   0.3750   0.0652
  0.6250   0.3750   0.0516
  0.7500   0.3750   0.0859
  0.8750   0.3750   0.2020
  1.0000   0.3750   0.3750

  0.0000   0.5000   0.5000
  0.1250   0.5000   0.2815
  0.2500   0.5000   0.1388
  0.3750   0.5000   0.0652
  0.5000   0.5000   0.0333
  0.6250   0.5000   0.0312
  0.7500   0.5000   0.0910
  0.8750   0.5000   0.2585
  1.0000   0.5000   0.5000

  0.0000   0.6250   0.3750
  0.1250   0.6250   0.2115
  0.2500   0.6250   0.1052
  0.3750   0.6250   0.0516
  0.5000   0.6250   0.0312
  0.6250   0.6250   0.0401
  0.7500   0.6250   0.1237
  0.8750   0.6250   0.3348
  1.0000   0.6250   0.6250

  0.0000   0.7500   0.2500
  0.1250   0.7500   0.1575
  0.2500   0.7500   0.1040
  0.3750   0.7500   0.0859
  0.5000   0.7500   0.0910
  0.6250   0.7500   0.1237
  0.7500   0.7500   0.2339
  0.8750   0.7500   0.4611
  1.0000   0.7500   0.7500

  0.0000   0.8750   0.1250
  0.1250   0.8750   0.1316
  0.2500   0.8750   0.1580
  0.3750   0.8750   0.2020
  0.5000   0.8750   0.2585
  0.6250   0.8750   0.3348
  0.7500   0.8750   0.4611
  0.8750   0.8750   0.6531
  1.0000   0.8750   0.8750

  0.0000   1.0000   0.0000
  0.1250   1.0000   0.1250
  0.2500   1.0000   0.2500
  0.3750   1.0000   0.3750
  0.5000   1.0000   0.5000
  0.6250   1.0000   0.6250
  0.7500   1.0000   0.7500
  0.8750   1.0000   0.8750
  1.0000   1.0000   1.0000

